Rank,Universitas,Negara,Score,lat,lon
1332Top 6.5%,Kōchi University,Japan,68.7,33.6208089,133.719376
1333Top 6.5%,Osnabrück University,Germany,68.6,52.2724039,8.0394187
1334Top 6.5%,Soongsil University,South Korea,68.6,37.4962989,126.9567202
1335Top 6.6%,Jeju National University,South Korea,68.6,33.513431,126.5534683
1336Top 6.6%,China Jiliang University,China,68.6,30.3236223,120.3582137
1337Top 6.6%,Saga University,Japan,68.6,33.2421927,130.2906509
1338Top 6.6%,University of South Africa,South Africa,68.6,-25.7509991,28.192093
1340Top 6.6%,Anhui University of Technology,China,68.6,31.8467475,117.2905389
1341Top 6.6%,University of Bradford,United Kingdom,68.6,53.7916522,-1.7661184
1342Top 6.6%,Toulouse 1 Capitole University,France,68.6,43.6073808,1.4381467
1343Top 6.6%,Kuwait University,Kuwait,68.6,29.344252,48.0833926
1344Top 6.6%,Yantai University,China,68.6,37.4335887,121.5165087
1345Top 6.6%,University of Alabama in Huntsville,USA,68.6,34.7257273,-86.640933
1346Top 6.6%,University of Foggia,Italy,68.6,41.4498782,15.5665076
1347Top 6.6%,Saitama University,Japan,68.6,35.8619719,139.6075894
1351Top 6.6%,Yangtze University,China,68.6,29.7523963,107.2586772
1352Top 6.6%,University of Costa Rica,Costa Rica,68.6,9.9356021,-84.0489628
1353Top 6.6%,Royal Veterinary College,United Kingdom,68.6,51.5366813,-0.1342081
1354Top 6.6%,College of the Holy Cross,USA,68.5,42.2366865,-71.8070248
1355Top 6.6%,ESSEC Business School,France,68.5,49.0334826,2.0770491
1356Top 6.7%,Shanxi Medical University,China,68.5,37.8497012,112.5481297
1357Top 6.7%,Istanbul Bilgi University,Turkey,68.5,41.0397899,28.9742941
1358Top 6.7%,Thapar Institute of Engineering and Technology,India,68.5,30.3545336,76.3657969
1359Top 6.7%,University of Jordan,Jordan,68.5,32.0134092,35.8733821
1360Top 6.7%,Kanazawa Institute of Technology,Japan,68.5,36.5309216,136.6275826
1361Top 6.7%,University of Pau and Pays de l'Adour,France,68.5,43.3146145,-0.3653306
1362Top 6.7%,University of the Ryukyus,Japan,68.5,26.2493768,127.7641583
1363Top 6.7%,École nationale vétérinaire d'Alfort,France,68.5,48.8128687,2.4241196
1364Top 6.7%,Southern Cross University,Australia,68.5,-37.8100242,144.9688921
1365Top 6.7%,University of Missouri-St. Louis,USA,68.5,38.7086398,-90.3117145
1367Top 6.7%,Xi'an University of Architecture and Technology,China,68.5,34.2391489,108.9624859
1370Top 6.7%,"Indian Institute of Science Education and Research, Kolkata",India,68.5,22.5813779,88.4071825
1373Top 6.7%,Indian Institute of Technology Hyderabad,India,68.5,17.5922751,78.1221891
1374Top 6.7%,University of Guadalajara,Mexico,68.5,20.6567346,-103.325319
1375Top 6.7%,Asian Institute of Management,Philippines,68.5,14.552361,121.0187953
1377Top 6.8%,Democritus University of Thrace,Greece,68.4,40.9292708,24.3795213
1378Top 6.8%,University of the Aegean,Greece,68.4,37.4453962,24.941762
1380Top 6.8%,Clark University,USA,68.4,42.2514681,-71.8229509
1381Top 6.8%,Showa University,Japan,68.4,35.6442736,139.6761041
1383Top 6.8%,Hyogo College of Medicine,Japan,68.4,34.7176027,135.380079
1384Top 6.8%,Shihezi University,China,68.4,44.3079869,86.0549057
1386Top 6.8%,University of Central Lancashire,United Kingdom,68.4,35.0082144,33.6964585
1387Top 6.8%,Kurume University,Japan,68.4,33.3275214,130.5120966
1388Top 6.8%,National Taiwan Ocean University,Taiwan,68.4,25.1507663,121.7812151
1389Top 6.8%,University of Malawi,Malawi,68.4,-15.8052933,35.0383046
1390Top 6.8%,North China University of Science and Technology,China,68.4,39.2054298,118.585956
1391Top 6.8%,Atatürk University,Turkey,68.4,39.901813,41.2334327
1393Top 6.8%,University of Dayton,USA,68.4,39.7383807,-84.1791678
1394Top 6.8%,Fayoum University,Egypt,68.4,29.3212445,30.8355711
1395Top 6.8%,Indian Institute of Technology Indore,India,68.4,22.5269276,75.9262066
1396Top 6.8%,University of South Alabama,USA,68.4,30.6972412,-88.1892334
1397Top 6.9%,Bowling Green State University,USA,68.4,41.3795005,-83.629789
1398Top 6.9%,"California State University, Northridge",USA,68.3,34.2455346,-118.5263221
1399Top 6.9%,University of Sharjah,United Arab Emirates,68.3,25.2878292,55.478969
1400Top 6.9%,Rowan University,USA,68.3,39.7103526,-75.1193267
1402Top 6.9%,Lanzhou University of Technology,China,68.3,36.0601392,103.775372
1403Top 6.9%,Anglia Ruskin University,United Kingdom,68.3,52.2033882,0.1350226
1404Top 6.9%,Chosun University,South Korea,68.3,35.1412134,126.9303491
1405Top 6.9%,"National Institute of Technology, Rourkela",India,68.3,22.2501589,84.9066856
1407Top 6.9%,Istanbul Aydın University,Turkey,68.3,40.9916257,28.7967971
1408Top 6.9%,SOAS University of London,United Kingdom,68.3,51.5218979,-0.1288676
1409Top 6.9%,Williams College,USA,68.3,42.7130236,-73.2030082
1411Top 6.9%,Leuphana University of Lüneburg,Germany,68.3,53.2287819,10.4014752
1412Top 6.9%,Inner Mongolia University,China,68.3,40.7564203,111.6801736
1414Top 6.9%,"University of Santiago, Chile",Chile,68.3,-33.4580688,-70.6634338
1415Top 6.9%,Al-Azhar University,Egypt,68.3,30.0451256,31.2648207
1416Top 6.9%,Jacobs University,Germany,68.3,53.1675194,8.6511191
1417Top 7%,Erzincan Binali Yıldırım University,Turkey,68.3,39.8055155,39.3763503
1419Top 7%,Shanghai Maritime University,China,68.3,30.8769821,121.9002178
1420Top 7%,Zhejiang Gongshang University,China,68.2,30.2874377,120.1319505
1421Top 7%,University of Huddersfield,United Kingdom,68.2,53.6429919,-1.7780783
1422Top 7%,Incheon National University,South Korea,68.2,37.3751446,126.6323645
1423Top 7%,Uludağ University,Turkey,68.2,40.238967,28.8697527
1424Top 7%,Selçuk University,Turkey,68.2,38.0242069,32.5057052
1425Top 7%,University of Nairobi,Kenya,68.2,-1.2551672,36.7248097
1426Top 7%,Fukushima Medical University,Japan,68.2,37.6904406,140.4690019
1428Top 7%,Kunming Medical University,China,68.2,24.847221,102.8266766
1431Top 7%,British University in Egypt,Egypt,68.2,30.1187457,31.6106136
1432Top 7%,École des Hautes Études en Sciences Sociales,France,68.2,43.30088,5.3676145
1433Top 7%,Cha University,South Korea,68.2,41.6494689,41.6280066
1436Top 7%,Beijing University of Chinese Medicine,China,68.2,39.9699198,116.4223901
1437Top 7%,Beijing Technology and Business University,China,68.2,39.9238532,116.3083868
1438Top 7.1%,University of La Frontera,Chile,68.2,34.0105547,71.4833157
1440Top 7.1%,Oxford Brookes University,United Kingdom,68.2,51.755223,-1.230104
1441Top 7.1%,Shenyang Agricultural University,China,68.2,41.8216864,123.5651314
1442Top 7.1%,"Vietnam National University, Ho Chi Minh City",Vietnam,68.1,10.878468,106.7947283
1443Top 7.1%,École de technologie supérieure,Canada,68.1,45.4945155,-73.5628555
1444Top 7.1%,University of San Francisco,USA,68.1,37.7793627,-122.4514473
1445Top 7.1%,Dongguan University of Technology,China,68.1,22.906068,113.8698035
1446Top 7.1%,Pomeranian Medical University in Szczecin,Poland,68.1,53.423058,14.5544014
1447Top 7.1%,King Khalid University,Saudi Arabia,68.1,18.0884354,42.713291
1448Top 7.1%,Akdeniz University,Turkey,68.1,36.8938473,30.6508866
1449Top 7.1%,Pontifical Catholic University of Valparaíso,Chile,68.1,-33.0277308,-71.5819235
1450Top 7.1%,Savitribai Phule Pune University,India,68.1,18.5528441,73.8266441
1451Top 7.1%,Texas Christian University,USA,68.1,32.7080148,-97.3611939
1452Top 7.1%,Helwan University,Egypt,68.1,29.866721,31.31559
1453Top 7.1%,Fukuoka University,Japan,68.1,33.5484433,130.3645137
1454Top 7.1%,Central Michigan University,USA,68.1,43.58355,-84.7746308
1456Top 7.1%,Hebei Normal University,China,68.1,37.9965514,114.5149368
1457Top 7.1%,North University of China,China,68.1,38.0148549,112.4422661
1462Top 7.2%,SRM Institute of Science and Technology,India,68.1,12.8234361,80.0450412
1463Top 7.2%,Ilia State University,Georgia,68.1,41.7124798,44.7491002
1464Top 7.2%,Western Michigan University,USA,68.1,42.2832928,-85.6102812
1466Top 7.2%,Beni Suef University,Egypt,68.0,29.0819499,31.1007624
1467Top 7.2%,Taras Shevchenko National University of Kyiv,Ukraine,68.0,50.3842474,30.4742873
1468Top 7.2%,University of Veterinary Medicine Hanover,Germany,68.0,52.3685695,9.7657307
1469Top 7.2%,National Chengchi University,Taiwan,68.0,24.9802091,121.5749593
1470Top 7.2%,National Kaohsiung University of Science and Technology,Taiwan,68.0,22.726413,120.3148478
1471Top 7.2%,Doshisha University,Japan,68.0,35.0304815,135.760637
1472Top 7.2%,Shandong University of Technology,China,68.0,36.8107193,117.9958537
1476Top 7.2%,Zhejiang Chinese Medical University,China,68.0,30.1772837,120.1443668
1477Top 7.2%,Indian Institute of Technology (BHU) Varanasi,India,68.0,25.2621544,82.9925896
1478Top 7.2%,Federal University of Technology - Paraná,Brazil,68.0,-26.1962819,-52.6899636
1479Top 7.3%,Western Norway University of Applied Sciences,Norway,68.0,60.3688758,5.3511115
1483Top 7.3%,National Chung Cheng University,Taiwan,68.0,23.5629482,120.4751218
1485Top 7.3%,Ball State University,USA,68.0,40.2097296,-85.4112151
1487Top 7.3%,University of Gondar,Ethiopia,67.9,12.6162953,37.4546884
1488Top 7.3%,Peoples' Friendship University of Russia,Russia,67.9,55.6509317,37.5007268
1489Top 7.3%,Feng Chia University,Taiwan,67.9,24.1800576,120.6483389
1491Top 7.3%,Kagawa University,Japan,67.9,34.3416186,134.03676
1492Top 7.3%,Tallinn University of Technology,Estonia,67.9,59.3949741,24.6676189
1493Top 7.3%,Antonio Nariño University,Colombia,67.9,4.634774,-74.0580026
1494Top 7.3%,Pontifical Catholic University of Rio Grande do Sul,Brazil,67.9,-30.0551712,-51.1735106
1495Top 7.3%,Huzhou University,China,67.9,30.5539441,120.0318536
1496Top 7.3%,Vienna University of Economics and Business,Austria,67.9,48.2135929,16.4082366
1497Top 7.3%,Nova Southeastern University,USA,67.9,26.0788018,-80.2435108
1498Top 7.3%,San Jose State University,USA,67.9,37.3351903,-121.881225
1500Top 7.4%,Hunan University of Science and Technology,China,67.9,27.9063746,112.9166685
1501Top 7.4%,Montclair State University,USA,67.9,40.8646879,-74.1969213
1502Top 7.4%,University of Indonesia,Indonesia,67.9,-6.3560403,106.8293001
1503Top 7.4%,University of Isfahan,Iran,67.9,32.6220743,51.6610219
1504Top 7.4%,Kwansei Gakuin University,Japan,67.9,34.768813,135.3469101
1506Top 7.4%,Poznań University of Life Sciences,Poland,67.9,52.4282087,16.9039732
1507Top 7.4%,Trent University,Canada,67.9,44.3572933,-78.2893817
1508Top 7.4%,Poznań University of Technology,Poland,67.9,52.3942702,16.9181304
1509Top 7.4%,Taif University,Saudi Arabia,67.9,21.4294717,40.4766272
1510Top 7.4%,Liaoning University,China,67.9,41.9237697,123.3813629
1511Top 7.4%,Medical University Sofia,Bulgaria,67.8,42.6865585,23.3093903
1513Top 7.4%,"California State University, Long Beach",USA,67.8,33.7817709,-118.1152001
1514Top 7.4%,Hiroshima Institute of Technology,Japan,67.8,34.37101,132.343313
1515Top 7.4%,Menlo College,USA,67.8,37.4567217,-122.1926482
1516Top 7.4%,University of Latvia,Latvia,67.8,56.950744,24.1160594
1517Top 7.4%,Seoul National University of Science and Technology,South Korea,67.8,37.6324414,127.0794648
1518Top 7.4%,De Montfort University,United Kingdom,67.8,52.6297131,-1.139284
1520Top 7.5%,Tianjin Normal University,China,67.8,39.0613669,117.1191949
1522Top 7.5%,University of Agder,Norway,67.8,58.1630985,8.0014426
1523Top 7.5%,University of Minnesota Duluth,USA,67.8,46.8203898,-92.0852741
1524Top 7.5%,Süleyman Demirel University,Turkey,67.8,37.8379545,30.5350457
1527Top 7.5%,University of South Dakota,USA,67.8,42.7913704,-96.9254235
1528Top 7.5%,Ochanomizu University,Japan,67.8,35.7187419,139.7311806
1529Top 7.5%,Kyushu Institute of Technology,Japan,67.8,33.892554,130.8401044
1530Top 7.5%,Middlesex University,United Kingdom,67.8,51.6591227,-0.1333415
1531Top 7.5%,Hanken School of Economics,Finland,67.8,60.1708238,24.9244713
1532Top 7.5%,Carleton College,USA,67.8,44.4718354,-93.1414777
1533Top 7.5%,Government College University Faisalabad,Pakistan,67.8,31.4157888,73.0688768
1534Top 7.5%,University of Salford,United Kingdom,67.7,53.4732203,-2.2970993
1535Top 7.5%,Institute of Tropical Medicine Antwerp,Belgium,67.7,51.2123055,4.3983113
1536Top 7.5%,University of Kashan,Iran,67.7,34.0111285,51.4058367
1537Top 7.5%,University of Electro-Communications,Japan,67.7,35.657267,139.5425627
1540Top 7.6%,Hamburg University of Technology,Germany,67.7,53.4610001,9.9692264
1541Top 7.6%,University of Perpignan,France,67.7,42.6821739,2.8990979
1542Top 7.6%,Witten/Herdecke University,Germany,67.7,51.4521882,7.3571148
1543Top 7.6%,Tamkang University,Taiwan,67.7,25.1749822,121.4503498
1544Top 7.6%,"Indian Statistical Institute, Kolkata",India,67.7,22.6477969,88.3766405
1545Top 7.6%,Ontario Tech University,Canada,67.7,43.9483414,-78.8982025
1546Top 7.6%,International Islamic University Malaysia,Malaysia,67.7,3.2530813,101.7356842
1551Top 7.6%,Indian Institute of Technology Bhubaneswar,India,67.7,20.1478932,85.6759728
1552Top 7.6%,Ariel University,Israel,67.7,32.104434,35.2052702
1553Top 7.6%,Semnan University,Iran,67.7,35.6037645,53.4344057
1554Top 7.6%,Nagoya Institute of Technology,Japan,67.7,35.1572716,136.9252004
1556Top 7.6%,King Mongkut's University of Technology Thonburi,Thailand,67.7,13.6517717,100.4944087
1557Top 7.6%,Fırat University,Turkey,67.7,38.683783,39.1875235
1558Top 7.6%,University of Southern Mississippi,USA,67.6,31.3286452,-89.3367312
1559Top 7.6%,Harbin University of Science and Technology,China,67.6,45.7088083,126.6283625
1560Top 7.6%,Henan University of Technology,China,67.6,34.8283818,113.5360877
1561Top 7.7%,Guilin University of Technology,China,67.6,25.281233,110.3686626
1562Top 7.7%,Zhengzhou University of Light Industry,China,67.6,34.7982907,113.648757
1564Top 7.7%,Kookmin University,South Korea,67.6,37.6114792,126.9964154
1565Top 7.7%,University of Guilan,Iran,67.6,37.1922074,49.638155
1566Top 7.7%,Lobachevsky University,Russia,67.6,56.2994218,43.9843481
1567Top 7.7%,Baruch College,USA,67.6,40.7402105,-73.9833844
1568Top 7.7%,Sabancı University,Turkey,67.6,40.8927159,29.3786332
1569Top 7.7%,Hebei Agricultural University,China,67.6,38.5208354,114.9630953
1570Top 7.7%,Central South University of Forestry and Technology,China,67.6,28.1334119,112.9858525
1572Top 7.7%,Near East University,Northern Cyprus,67.6,35.2278925,33.3227486
1573Top 7.7%,Hampton University,USA,67.6,37.0210096,-76.3386255
1574Top 7.7%,Zhongnan University of Economics and Law,China,67.6,30.4764327,114.3801799
1575Top 7.7%,Norwegian School of Sport Sciences,Norway,67.6,59.9673859,10.730393
1577Top 7.7%,Lincoln University,New Zealand,67.6,-43.644314,172.4653325
1578Top 7.7%,University of Zambia,Zambia,67.6,-15.3948733,28.3315259
1579Top 7.7%,"National Institute of Technology, Tiruchirappalli",India,67.6,10.7633854,78.8150292
1580Top 7.7%,Guangdong Medical University,China,67.6,21.2077298,110.4056035
1583Top 7.8%,Sichuan Normal University,China,67.5,30.6119925,104.1138966
1584Top 7.8%,MARA University of Technology,Malaysia,67.5,-37.8214954,145.0387532
1585Top 7.8%,Xinjiang Medical University,China,67.5,43.8368402,87.5753263
1586Top 7.8%,Taibah University,Saudi Arabia,67.5,24.4855291,39.5428073
1587Top 7.8%,University of Tulsa,USA,67.5,36.1523306,-95.9459602
1588Top 7.8%,University of Rijeka,Croatia,67.5,45.3284573,14.4669239
1589Top 7.8%,Wakayama Medical University,Japan,67.5,34.187677,135.1819566
1590Top 7.8%,Clarkson University,USA,67.5,44.6595888,-75.0062397
1592Top 7.8%,Foshan University,China,67.5,23.1425996,113.0485761
1593Top 7.8%,I-Shou University,Taiwan,67.5,22.7270551,120.4063525
1596Top 7.8%,University of Lethbridge,Canada,67.5,49.6744567,-112.8606051
1597Top 7.8%,Grinnell College,USA,67.5,41.7511199,-92.7198486
1599Top 7.8%,Sheffield Hallam University,United Kingdom,67.5,53.3817264,-1.4627951
1601Top 7.8%,Pontifical Javeriana University,Colombia,67.5,4.6287061,-74.0636499
1602Top 7.9%,Oslo Metropolitan University,Norway,67.5,59.9219172,10.7332963
1603Top 7.9%,Central Queensland University,Australia,67.5,-23.3183136,150.5216695
1605Top 7.9%,University of Kragujevac,Serbia,67.5,44.0225067,20.9204031
1607Top 7.9%,University of Peshawar,Pakistan,67.4,34.0105547,71.4833157
1609Top 7.9%,Nara Medical University,Japan,67.4,34.503917,135.792889
1611Top 7.9%,Southwest Medical University,China,67.4,29.5391668,106.4482036
1612Top 7.9%,Aichi Medical University,Japan,67.4,35.1921944,137.0507531
1613Top 7.9%,Kwangwoon University,South Korea,67.4,37.620582,127.0571714
1614Top 7.9%,Xi'an University of Science and Technology,China,67.4,34.234995,108.9590212
1615Top 7.9%,Lithuanian University of Health Sciences,Lithuania,67.4,54.8943049,23.9163566
1616Top 7.9%,University of Peradeniya,Sri Lanka,67.4,7.2563571,80.5970538
1617Top 7.9%,Razi University,Iran,67.4,34.3914152,47.1124584
1619Top 7.9%,University of Valparaíso,Chile,67.4,-33.0277308,-71.5819235
1620Top 7.9%,Jamia Millia Islamia,India,67.4,28.5584903,77.2811647
1621Top 7.9%,Ondokuz Mayıs University,Turkey,67.4,41.3682047,36.1980326
1623Top 8%,Thammasat University,Thailand,67.4,18.3173369,99.3996064
1624Top 8%,Kingston University,United Kingdom,67.4,51.4030739,-0.3032181
1625Top 8%,Changchun University of Science and Technology,China,67.4,43.8801188,125.3011857
1626Top 8%,Georgian Technical University,Georgia,67.4,41.7164202,44.7772984
1627Top 8%,Xi'an Jiaotong-Liverpool University,China,67.4,31.2757194,120.7354789
1628Top 8%,Urmia University,Iran,67.4,37.6520889,44.9799463
1632Top 8%,Sapporo Medical University,Japan,67.3,43.0552889,141.3318489
1633Top 8%,CY Cergy Paris University,France,67.3,49.0426515,2.0839126
1635Top 8%,Menoufia University,Egypt,67.3,30.6108019,31.1097195
1636Top 8%,Suranaree University of Technology,Thailand,67.3,14.8812177,102.0121748
1638Top 8%,Guangdong Pharmaceutical University,China,67.3,23.0583406,113.4053548
1639Top 8%,Illinois State University,USA,67.3,40.5179938,-89.0084607
1640Top 8%,Linyi University,China,67.3,35.1192777,118.2810806
1641Top 8%,Bu-Ali Sina University,Iran,67.3,34.795353,48.4838243
1642Top 8%,Benha University,Egypt,67.3,30.0819833,31.2445096
1643Top 8.1%,Chapman University,USA,67.3,33.7933817,-117.8516959
1644Top 8.1%,Free University of Bozen-Bolzano,Italy,67.3,46.498298,11.3501018
1646Top 8.1%,Payame Noor University,Iran,67.3,32.6210159,51.3919877
1647Top 8.1%,Shanghai University of Engineering Science,China,67.3,31.0572641,121.2008668
1648Top 8.1%,Cleveland State University,USA,67.3,41.5025834,-81.6750871
1649Top 8.1%,Mendel University in Brno,Czech Republic,67.3,49.2107529,16.6158204
1651Top 8.1%,"California State University, Los Angeles",USA,67.3,33.7817709,-118.1152001
1654Top 8.1%,Glasgow Caledonian University,United Kingdom,67.3,55.8674664,-4.2502454
1655Top 8.1%,Eastern Virginia Medical School,USA,67.2,36.8607818,-76.3021167
1656Top 8.1%,Xinxiang Medical University,China,67.2,35.2915515,113.9280366
1657Top 8.1%,DePaul University,USA,67.2,41.9245803,-87.6507223
1658Top 8.1%,Nelson Mandela University,South Africa,67.2,-34.008092,25.6746305
1660Top 8.1%,Claremont Graduate University,USA,67.2,34.1103852,-117.7175884
1661Top 8.1%,Minia University,Egypt,67.2,28.1077815,30.7452561
1663Top 8.1%,China West Normal University,China,67.2,30.8202582,106.0652474
1664Top 8.2%,University of Ruhuna,Sri Lanka,67.2,5.9381636,80.576851
1665Top 8.2%,Bharathiar University,India,67.2,11.0369574,76.8792694
1667Top 8.2%,Utah Valley University,USA,67.2,40.2794106,-111.7178868
1668Top 8.2%,Yuan Ze University,Taiwan,67.2,24.9686131,121.2675487
1669Top 8.2%,University of Massachusetts Dartmouth,USA,67.2,41.6225037,-71.0073448
1670Top 8.2%,Guizhou Medical University,China,67.2,26.5996863,106.7112775
1672Top 8.2%,Kyorin University,Japan,67.2,35.6853325,139.5698343
1673Top 8.2%,University of the West of Scotland,United Kingdom,67.2,51.5100436,-0.0047661
1674Top 8.2%,Catholic University of the North,Chile,67.2,40.8618989,-73.9065932
1675Top 8.2%,Nazarbayev University,Kazakhstan,67.2,51.0906532,71.3973878
1676Top 8.2%,Bahçeşehir University,Turkey,67.2,41.0418505,29.0096979
1677Top 8.2%,Reed College,USA,67.2,45.4814993,-122.6310136
1678Top 8.2%,Wonkwang University,South Korea,67.2,35.968779,126.9591018
1679Top 8.2%,University of Trier,Germany,67.2,49.6080794,7.169332
1680Top 8.2%,Bahauddin Zakariya University,Pakistan,67.1,30.2640234,71.5082911
1681Top 8.2%,National University of Cuyo,Argentina,67.1,-32.8795365,-68.8801735
1682Top 8.2%,International University of Health and Welfare,Japan,67.1,35.7613391,140.2944692
1684Top 8.3%,University of Malta,Malta,67.1,35.9020939,14.4834634
1685Top 8.3%,Agricultural University of Athens,Greece,67.1,37.9824516,23.7044444
1686Top 8.3%,Rikkyo University,Japan,67.1,35.7298505,139.7030216
1687Top 8.3%,University of the Philippines Manila,Philippines,67.1,14.5759437,120.9864733
1688Top 8.3%,University of Niš,Serbia,67.1,43.3229439,21.8934768
1690Top 8.3%,Suzhou University of Science and Technology,China,67.1,31.2517643,120.5723969
1691Top 8.3%,Catholic University of Portugal,Portugal,67.1,38.7491398,-9.1659831
1692Top 8.3%,Diego Portales University,Chile,67.1,-33.4500049,-70.6602964
1693Top 8.3%,"University of San Francisco, Quito",Ecuador,67.1,-0.1999868,-78.5061861
1694Top 8.3%,"California State University, Sacramento",USA,67.1,38.5664697,-121.4284035
1695Top 8.3%,Chongqing Technology and Business University,China,67.1,29.5087469,106.5785766
1698Top 8.3%,Yunnan Normal University,China,67.1,25.0588796,102.695017
1699Top 8.3%,Yazd University,Iran,67.1,31.830437,54.3490356
1700Top 8.3%,University of North Carolina Wilmington,USA,67.1,34.2249827,-77.8690774
1703Top 8.3%,Trinity University,USA,67.1,29.4616913,-98.4835083
1705Top 8.4%,Federal University of Rio Grande,Brazil,67.0,-30.033315,-51.219944
1707Top 8.4%,Myongji University,South Korea,67.0,37.237892,127.1905189
1708Top 8.4%,Federation University Australia,Australia,67.0,-27.4648813,153.0282355
1709Top 8.4%,Ohio Wesleyan University,USA,67.0,40.292858,-83.0642763
1710Top 8.4%,Western Washington University,USA,67.0,48.734141,-122.4874638
1711Top 8.4%,Prince Sattam Bin Abdulaziz University,Saudi Arabia,67.0,24.1486906,47.2718897
1712Top 8.4%,Georgia Southern University,USA,67.0,32.4214381,-81.7845053
1714Top 8.4%,Necmettin Erbakan University,Turkey,67.0,37.8762248,32.4313675
1715Top 8.4%,Westlake University,China,67.0,30.3359809,120.0319713
1716Top 8.4%,Laurentian University,Canada,67.0,46.4666416,-80.9738711
1717Top 8.4%,Amrita Vishwa Vidyapeetham,India,67.0,12.8938021,77.6759379
1718Top 8.4%,Ibaraki University,Japan,67.0,36.4007974,140.4431453
1719Top 8.4%,Appalachian State University,USA,67.0,36.2113525,-81.6860913
1720Top 8.4%,Fairfield University,USA,67.0,41.1596757,-73.2574031
1721Top 8.4%,Sookmyung Women's University,South Korea,67.0,37.5453844,126.9643169
1722Top 8.4%,St. Marianna University School of Medicine,Japan,67.0,35.6006243,139.5491115
1723Top 8.4%,Gangneung-Wonju National University,South Korea,67.0,37.3045612,127.9235833
1724Top 8.4%,University of Health Sciences,Turkey,67.0,41.0039615,29.0197387
1725Top 8.5%,European University Institute,Italy,67.0,43.802566,11.2829889
1727Top 8.5%,"Goldsmiths, University of London",United Kingdom,67.0,51.4736302,-0.0372464
1728Top 8.5%,University of Fukui,Japan,67.0,36.07681,136.211926
1729Top 8.5%,University of Dhaka,Bangladesh,67.0,23.7312443,90.3915283
1730Top 8.5%,Tzu Chi University,Taiwan,67.0,23.9942266,121.5892972
1731Top 8.5%,Roskilde University,Denmark,66.9,55.6527054,12.1393296
1732Top 8.5%,Indian Institute of Management Calcutta,India,66.9,22.4440967,88.3017146
1733Top 8.5%,Kocaeli University,Turkey,66.9,40.8187372,29.922908
1734Top 8.5%,Jiangxi Agricultural University,China,66.9,28.7692666,115.8329308
1735Top 8.5%,Space Research Institute of the Russian Academy of Sciences,Russia,66.9,55.6551271,37.5337195
1738Top 8.5%,Cyprus University of Technology,Cyprus,66.9,34.6749473,33.0426436
1739Top 8.5%,Malmö University,Sweden,66.9,55.6088853,12.9932225
1740Top 8.5%,Kermanshah University of Medical Sciences,Iran,66.9,34.3917115,47.1029096
1742Top 8.5%,Umm Al-Qura University,Saudi Arabia,66.9,21.324832,39.9448821
1743Top 8.5%,Xinyang Normal University,China,66.9,32.1376182,114.0350434
1744Top 8.5%,Ludong University,China,66.9,37.5230897,121.3545232
1745Top 8.5%,Southern Federal University,Russia,66.9,47.2164127,39.6315514
1746Top 8.6%,Shanxi Agricultural University,China,66.9,37.4228703,112.5761338
1748Top 8.6%,Federal University of Mato Grosso,Brazil,66.9,-15.6101957,-56.0644828
1749Top 8.6%,Ningxia University,China,66.9,38.4965932,106.0998505
1751Top 8.6%,Chengdu University,China,66.9,30.6490115,104.1785118
1753Top 8.6%,Hubei University of Technology,China,66.9,30.4868826,114.3078978
1754Top 8.6%,Kongju National University,South Korea,66.9,36.8517528,127.1510574
1755Top 8.6%,PETRONAS University of Technology,Malaysia,66.9,4.3827595,100.9701137
1757Top 8.6%,Hongik University,South Korea,66.8,37.5503552,126.9254349
1758Top 8.6%,University of Zielona Góra,Poland,66.8,54.8983474,23.9345755
1759Top 8.6%,Mekelle University,Ethiopia,66.8,13.4842836,39.4554493
1760Top 8.6%,University of Kurdistan,Iran,66.8,35.3110267,46.9942105
1761Top 8.6%,Doğuş University,Turkey,66.8,41.047642,29.0768545
1762Top 8.6%,Alfaisal University,Saudi Arabia,66.8,24.6644278,46.676386
1764Top 8.6%,Shanghai Institute of Technology,China,66.8,31.1682516,121.4182096
1765Top 8.6%,James Madison University,USA,66.8,38.4364404,-78.8689648
1766Top 8.7%,University of South-Eastern Norway,Norway,66.8,59.3685194,10.4416421
1767Top 8.7%,Jimma University,Ethiopia,66.8,7.6792877,36.8533248
1768Top 8.7%,Harokopio University,Greece,66.8,37.9612483,23.7082126
1770Top 8.7%,Marshall University,USA,66.8,38.4236258,-82.4274024
1771Top 8.7%,University of Notre Dame Australia,Australia,66.8,-33.8812322,151.2188581
1772Top 8.7%,Chongqing Normal University,China,66.8,29.5595278,106.4515641
1773Top 8.7%,University of International Business and Economics,China,66.8,39.977598,116.4215242
1775Top 8.7%,University of Westminster,United Kingdom,66.8,51.5209064,-0.140073
1776Top 8.7%,University of Zimbabwe,Zimbabwe,66.8,-17.7853572,31.0520758
1777Top 8.7%,National Dong Hwa University,Taiwan,66.8,23.8973249,121.542578
1778Top 8.7%,Central European University,Hungary,66.8,47.5009116,19.0499892
1781Top 8.7%,Central University of Finance and Economics,China,66.8,39.9581476,116.3362796
1782Top 8.7%,Akita University,Japan,66.8,39.7277525,140.1331901
1784Top 8.7%,University of Nigeria,Nigeria,66.7,6.8641025,7.4097397
1786Top 8.7%,Mae Fah Luang University,Thailand,66.7,20.0503333,99.895149
1788Top 8.8%,St. John's University,USA,66.7,40.6212473,-74.0912008
1789Top 8.8%,University of Jammu,India,66.7,32.7182619,74.8694345
